OSS,,Unnamed: 0,Unnamed: 0.1.1,URL,average_rating,description,last_update,num_ratings,weekly_downloads,Category,last_update_days_ago,last_update_hours_ago,last_update_date,date_registered,days_since_release
marsyas,680,680,680,/projects/marsyas/?source=directory,5,"Marsyas (Music Analysis, Retrieval and Synthesis for Audio Signals) is a framework for developing systems for audio processing. It provides an general architecture for connecting audio, soundfiles, signal processing blocks and machine learning. ",11/25/14,9,21,Audio and Video,687,16488,11/25/14,7/5/03,4848
Auto TV Tagger,681,681,681,/projects/autotvtagger/?source=directory,5,Have untagged TV shows in iTunes? Auto TV Tagger gets all of the tags from TheTVDB.com as well as the artwork and tags your TV shows for you.,5/2/13,4,27,Audio and Video,1259,30216,5/2/13,12/9/09,2499
mp3stegz,682,682,682,/projects/mp3stegz/?source=directory,5,mp3stegz is an application that apply steganographic (steganography) algorithm in mp3 files. mp3stegz will maintain original mp3 file's size and sound quality. The hidden message is compressed(zlib) and encrypted(Rijndael).,3/27/13,4,27,Audio and Video,1295,31080,3/27/13,5/18/08,3069
Network Audio System,683,683,683,/projects/nas/?source=directory,0,"The Network Audio System is a network transparent, client/server audio transport system.",4/29/15,0,107,Audio and Video,532,12768,4/29/15,6/11/07,3411
MidiQuickFix - Midi editor and player,684,684,684,/projects/midiquickfix/?source=directory,5,"MidiQuickFix allows you to directly edit the events in a Midi file. It is intended to make it easy to find and fix problems, such as setting volume and pan values for a track, without the need for a complex Midi sequencing program.",4/26/14,1,59,Audio and Video,900,21600,4/26/14,11/13/04,4351
Virtual Dub German,685,685,685,/projects/vdgerman/?source=directory,5,"The german version of avery lees great virtual dub!!! Encoding, transcoding, editing and capturing with only one program and now with german language, too!",2/25/13,1,59,Audio and Video,1325,31800,2/25/13,11/28/01,5432
puddletag,686,686,686,/projects/puddletag/?source=directory,4.8,"SImple, powerful audio tagger for GNU/Linux",10/12/15,20,18,Audio and Video,366,8784,10/12/15,6/23/08,3033
FFmpeg iOS,687,687,687,/projects/ffmpeg-ios/?source=directory,0,FFmpeg libraries for iOS,7/8/16,0,105,Audio and Video,96,2304,7/8/16,3/18/14,939
GuitarPractice,688,688,688,/projects/guitarpractice/?source=directory,5,Speedup and slowdown your mp3's as you train your guitar skills.,1/4/14,2,37,Audio and Video,1012,24288,1/4/14,8/31/09,2599
RNNLIB,689,689,689,/projects/rnnl/?source=directory,3.7,"RNNLIB is a recurrent neural network library for sequence learning problems. Applicable to most types of spatiotemporal data, it has proven particularly effective for speech and handwriting recognition.",8/20/13,3,62,Audio and Video,1149,27576,8/20/13,7/18/10,2278
XenonMKV,690,690,690,/projects/xenonmkv/?source=directory,5,XenonMKV has moved to GitHub and been rewritten. This version is no longer supported. Please visit https://github.com/jbillo/xenonmkv for the newest code.,5/8/13,8,21,Audio and Video,1253,30072,5/8/13,7/2/08,3024
Wiideo Center,691,691,691,/projects/wiideocenter/?source=directory,5,Video Transcoding for Wii and WiiU Consoles,12/16/12,4,26,Audio and Video,1396,33504,12/16/12,8/3/07,3358
AVConv - Automatic video converter,692,692,692,/projects/avconv/?source=directory,0,"With AVConv, convert video files is automatic and invisible. It is specially designed for mobile applications. Coupled with Juice and ActiveSync / Hotsync, it provide a perfect solution to transfer podcast from web to offline video on mobiles.",3/8/13,0,103,Audio and Video,1314,31536,3/8/13,1/22/07,3551
mintyMac-StarStudio,693,693,693,/projects/mintymacstarstudio/?source=directory,5,The Complete 64bit Audio and Video Linux Workstation,10/15/14,1,57,Audio and Video,728,17472,10/15/14,6/1/14,864
Argon,694,694,694,/projects/argon-ps2/?source=directory,5,"Designed for the Sony Playstation 2, Argon, allows you to play multimedia files like XVID, DivX, and MP3. It is based off of the Simple Media Player (SMS) and offers an interface similar to that of the Playstation 3/PSP.",4/18/13,2,36,Audio and Video,1273,30552,4/18/13,12/11/06,3593
FeedTurtle,695,695,695,/projects/feedturtle/?source=directory,5,"RSS reader, multimedia manager and TV series manager",8/19/16,2,36,Audio and Video,54,1296,8/19/16,1/28/10,2449
Guitar Tuner Java Applet,696,696,696,/projects/guitartuner/?source=directory,5,Online Guitar Tuner java applet which analyse your microphone or any other sound input to find fundamental frequency using a Fast Fourier Transform.,4/19/13,2,36,Audio and Video,1272,30528,4/19/13,3/23/06,3856
VISCA camera control library,697,697,697,/projects/libvisca/?source=directory,5,"libVISCA is a library for controlling a VISCA compliant video camera. VISCA is a professional camera control protocol, designed by Sony to be used on several of its surveillance and OEM block cameras.",4/26/13,2,36,Audio and Video,1265,30360,4/26/13,4/2/02,5307
GiGaHeRz SPU2 and CDVD Plugins,698,698,698,/projects/spu2ghz/?source=directory,0,SPU2ghz is a SPU2 plugin for the PlayStation 2 emulator PCSX2 (and other that use the same plugin API). cdvdGigaherz is a CD/DVD plugin using win32 IoCtl calls to access real drives.,4/17/13,0,102,Audio and Video,1274,30576,4/17/13,8/6/03,4816
Zeeb,699,699,699,/projects/zeeb/?source=directory,5,"Adobe AIR app (Windows OSX Linux) for renaming movie files & DVD folders, downloading posters, and creating .url shortcut links to IMDB. Uses NFO file when available. Remembers words to save (720p, DTS) and remove (like release group names).",8/21/13,15,18,Audio and Video,1148,27552,8/21/13,12/27/09,2481
Gnome Wave Cleaner,700,700,700,/projects/gwc/?source=directory,5,"Digital audio restoration of CD quality audio wavefiles. Dehiss, declick and decrackle in a GUI environment.",4/5/13,3,29,Audio and Video,1286,30864,4/5/13,8/22/02,5165
JChordBox,701,701,701,/projects/jchordbox/?source=directory,5,Give the chord progression and a style and jchordbox generates a song.,4/26/13,3,29,Audio and Video,1265,30360,4/26/13,1/18/13,1363
giPlayer,702,702,702,/projects/giplayer/?source=directory,0,A python-gtk wrapper for get_iplayer.,3/3/15,0,101,Audio and Video,589,14136,3/3/15,9/14/10,2220
SrtViewer for Mac OS X,703,703,703,/projects/srtviewer/?source=directory,0,Srt Viewer for Mac is a software to show the subtitles with a timeline on SRT FORMAT(SubTitles) files independently.,5/2/13,0,100,Audio and Video,1259,30216,5/2/13,1/17/08,3191
Swami Project,704,704,704,/projects/swami/?source=directory,5,"A SoundFont editor and other software for editing, managing and sharing sample based MIDI instrument files for computer music composition. Support for other formats is planned.",7/15/16,2,35,Audio and Video,89,2136,7/15/16,2/24/02,5344
discid,705,705,705,/projects/discid/?source=directory,5,"discid is a small program to calculate the disc-ID for audio compact discs. The disc-ID can be used to query info (tracks, title, interpret) about compact audio discs from a CDDB-Server.",4/18/13,2,35,Audio and Video,1273,30552,4/18/13,6/1/03,4882
JNIZ music notation audio to midi,706,706,706,/projects/jniz/?source=directory,3,"music composition and notation software, audio to midi converter     ",1/12/16,2,123,Audio and Video,274,6576,1/12/16,9/23/13,1115
Analysis-Resynthesis Sound Spectrograph,707,707,707,/projects/arss/?source=directory,0,"The Analysis & Resynthesis Sound Spectrograph analyses a sound file into a spectrogram and is able to synthesise this spectrogram, or any other user-created image, back into a sound.",3/25/13,0,99,Audio and Video,1297,31128,3/25/13,3/18/08,3130
modplug,708,708,708,/projects/modplug/?source=directory,4.8,A music tracker software for Windows.,5/21/16,21,18,Audio and Video,144,3456,5/21/16,1/24/04,4645
Ship's Clock,709,709,709,/projects/shipsclock/?source=directory,4,Ships Clock will ring a bell on every half-hour in the style of the standard ship's clock used for centuries on sailing ships around the world and still used in the world's navies today.,8/30/12,4,41,Audio and Video,1504,36096,8/30/12,11/14/04,4350
OpenTZT,710,710,710,/projects/opentzt/?source=directory,5,OpenTZT is a realtime video mixing and effect software. It's build on the opensourced code of TransZendent VJ software (which is now defunct). For more information please see http://opentzt.com,4/17/13,2,34,Audio and Video,1274,30576,4/17/13,7/29/04,4458
in_ffsox,711,711,711,/projects/in-ffsox/?source=directory,5,"FFSoX Player is a Winamp plug-in based on the FFmpeg and SoX libraries. Using FFmpeg almost all multimedia files may be played, including H.264 and VP8.",12/27/15,2,34,Audio and Video,290,6960,12/27/15,6/12/10,2314
uFMOD,712,712,712,/projects/ufmod/?source=directory,5,"XM player library written in assembly language. It's perfect for size- and speed-critical applications, click free, highly reliable, easy to use, open source, multiplatform. It is able to play even damaged and non-standard XM tracks.",4/24/13,2,34,Audio and Video,1267,30408,4/24/13,1/26/06,3912
gmusicbrowser,713,713,713,/projects/gmusicbrowser/?source=directory,5,"Jukebox for large collections of music files, written in perl, use gstreamer, mplayer or mpg321/ogg123/flac123 for playback",5/31/16,7,20,Audio and Video,134,3216,5/31/16,9/1/05,4059
QNapi,714,714,714,/projects/qnapi/?source=directory,5,Project moved to http://qnapi.github.io,8/13/15,4,24,Audio and Video,426,10224,8/13/15,2/17/08,3160
SID Player Music Library V2,715,715,715,/projects/sidplay2/?source=directory,3,Sidplay 2 is the second in the Sidplay series originally developed by Michael Schwendt.  This version is written by Simon White and is cycle accurate for improved sound reproduction.  Sidplay 2 is capable of playing all C64 mono and stereo file formats.,5/2/13,1,53,Audio and Video,1259,30216,5/2/13,8/4/00,5913
wacaw - webcam tools for Mac OS X,716,716,716,/projects/webcam-tools/?source=directory,5,"A collection of tools and scripts for processing images and video from attached USB and FireWire webcams on Mac OS X. To start things off, there is a command-line tool for capturing webcam images. ",4/15/13,10,18,Audio and Video,1276,30624,4/15/13,12/16/05,3953
JACo MP3 Player ( java mp3 player ),717,717,717,/projects/jacomp3player/?source=directory,3,"JACo MP3 Player is a cross platform java mp3 player. Features: very low CPU usage (~2%), incredible small library (~90KB), doesn't need JMF, easy to integrate in any application, easy to integrate in any web page (as applet).",4/26/13,2,117,Audio and Video,1265,30360,4/26/13,5/14/10,2343
FLPrecovery,718,718,718,/projects/flprecovery/?source=directory,5,"helps recovering broken FruityLoops / "" FL STUDIO "" (any versions) Project files ",1/17/13,1,52,Audio and Video,1364,32736,1/17/13,6/11/10,2315
vgmstream,719,719,719,/projects/vgmstream/?source=directory,5,A library for playback of various streamed audio formats used in video games.,8/6/15,1,52,Audio and Video,433,10392,8/6/15,1/25/08,3183
"iPodder, now called Juice",720,720,720,/projects/ipodder/?source=directory,5,"iPodder is a media aggregator which automatically downloads files to your computer or portable device, leaving you 'one-click-away' from latest media feeds. Based on the iPodder idea of Adam Curry.",3/9/14,2,33,Audio and Video,948,22752,3/9/14,9/2/04,4423
OpenOMR,721,721,721,/projects/openomr/?source=directory,3.5,OpenOMR is an open source optical music recognition (OMR) tool for printed music scores. It allows a user to scan a printed music partition and play it through the computer speakers.,4/10/13,2,116,Audio and Video,1281,30744,4/10/13,8/31/06,3695
Washtub - The Liquidsoap Controller,722,722,722,/projects/washtub/?source=directory,0,"Washtub is a web-based controller for the Liquidsoap streaming media language.  It allows graphical management of distributed liquidsoap daemons.  Use it for controlling playlists, request queues and managing media collections. ",9/28/16,0,93,Audio and Video,14,336,9/28/16,7/30/10,2266
avc2avi mod,723,723,723,/projects/avc2avi/?source=directory,4.3,avc2avi converts raw avc/h.264 streams to the avi format without reencoding.,3/22/13,6,28,Audio and Video,1300,31200,3/22/13,11/17/06,3617
iTunesEncode.NET,724,724,724,/projects/itunesencodenet/?source=directory,4.3,iTunesEncode.NET is a tool for decoding FLAC (Free Lossless Audio Codec) and APE (Monkey's Audio) files into ALAC (Apple Lossless Audio Codec) files. It uses Apple iTunes for encoding to provide maximum sound quality.,4/19/13,6,28,Audio and Video,1272,30528,4/19/13,12/7/08,2866
JLipSync,725,725,725,/projects/jlipsync/?source=directory,3.8,JLipSync is a Java program for creating lip sync timesheets/x-sheets/exposure sheets for traditional or 3D animation.,4/11/13,4,39,Audio and Video,1280,30720,4/11/13,2/2/04,4636
LinPHA PHP Photo Gallery,726,726,726,/projects/linpha/?source=directory,5,"LinPHA is an easy to use, multilingual, flexible photo/image archive/album/gallery written in PHP. It uses a SQL database to store information about your pictures. It comes with a HTML based installer, so you don't need experience in setting up SQL ",4/25/13,6,20,Audio and Video,1266,30384,4/25/13,10/14/02,5112
mpg123.net,727,727,727,/projects/mpg123net/?source=directory,5,"Famous mpg123 lightweight .net wrapper with sample. For use in your own .net mp3 projects. Read ID3 tags, decoder MP3 files, play them out. Really fast decoder for your managed applications. Written in .net 2.0 and c#.  ",4/25/13,3,26,Audio and Video,1266,30384,4/25/13,8/24/10,2241
x0xb0x,728,728,728,/projects/x0xb0x/?source=directory,0,x0xb0x is an open source 'acid' bassline synthesizer with sequencer,3/22/13,0,91,Audio and Video,1300,31200,3/22/13,4/2/05,4211
3DS Video Converter,729,729,729,/projects/dsvidconbyneku/?source=directory,4,Easy to use 3DS-Video-Converter,5/29/13,4,38,Audio and Video,1232,29568,5/29/13,4/14/12,1642
Easy BMP to AVI Movie Creator,730,730,730,/projects/easybmptoavi/?source=directory,5,"EasyBMPtoAVI is a cross-platform (Linux, Windows, OSX, Solaris..), easy-to-use application to convert a series of BMP images of any bit depth to an AVI movie file. EasyBMPtoAVI supports both command-line and interactive use, and a GUI version is planned.",4/16/13,1,50,Audio and Video,1275,30600,4/16/13,5/19/06,3799
Aften,731,731,731,/projects/aften/?source=directory,0,A/52 audio encoder. Creates stereo and multi-channel audio streams.,5/23/13,0,89,Audio and Video,1238,29712,5/23/13,7/22/06,3735
KinectA,732,732,732,/projects/kinecta/?source=directory,0,"Software for motion tracking (skeletons, objects, hands) via Kinect!",7/30/12,0,89,Audio and Video,1535,36840,7/30/12,7/29/12,1536
Whorld,733,733,733,/projects/whorld/?source=directory,0,"Whorld is a free, open-source visualizer for sacred geometry. It uses math to create a seamless animation of mesmerizing psychedelic images. You can VJ / veejay with it, make unique digital artwork with it, or sit back and watch it like a screensaver",8/7/15,0,89,Audio and Video,432,10368,8/7/15,8/26/05,4065
Quick YouTube To MP3,734,734,734,/projects/quickyoutube/?source=directory,5,Download and convert YouTube videos in one click!,3/14/12,1,49,Audio and Video,1673,40152,3/14/12,4/3/11,2019
Scale and Chord Generator,735,735,735,/projects/scgen/?source=directory,4,"Scale & Chord Generator gives a visual display of chords and scales in any key on a musical staff, keyboard, guitar fretboard and bass guitar fretboard.  Each note of the chosen chord or scale is displayed along with a related chord or scale to be played",4/11/13,1,49,Audio and Video,1280,30720,4/11/13,4/1/05,4212
Gawker,736,736,736,/projects/gawker/?source=directory,0,"Gawker creates time-lapse movies using an iSight/DV camera. Images from your camera can be shared, allowing other users to record your image stream. Streams can also be combined to create a time-lapse movie with two locations side-by-side.",5/8/13,0,88,Audio and Video,1253,30072,5/8/13,2/2/06,3905
MediaEncodingCluster,737,737,737,/projects/bripper/?source=directory,5,"MediaEncodingCluster is an Enterprise Class, Video Cluster Environment with a Plattform Independent Client - Server Architecture for distributed video/audio converting/encoding tool over a grid Computing Network Design. more on http://docs.codergrid.de",10/29/14,2,31,Audio and Video,714,17136,10/29/14,10/31/01,5460
Ogg Video Tools,738,738,738,/projects/oggvideotools/?source=directory,5,"The Ogg Video Tools is a toolbox for manipulating and creating Ogg video files. It includes handy command line tools like oggCut, oggCat, oggSlideshow, oggThumb and others.",9/5/16,6,19,Audio and Video,37,888,9/5/16,8/3/08,2992
DSVideoLib,739,739,739,/projects/dsvideolib/?source=directory,5,"A DirectShow wrapper supporting concurrent access to framebuffers from multiple threads. Useful for developing applications that require live video input from a variety of capture devices (frame grabbers, IEEE-1394 DV camcorders, USB webcams).",2/25/13,7,18,Audio and Video,1325,31800,2/25/13,2/26/03,4977
TV-Viewer,740,740,740,/projects/tv-viewer/?source=directory,5,"TV-Viewer is a frontend to watch and record TV. Designed for analog TV-cards working with ivtv, pvrusb2 or cx18 driver and others with a build-in hardware MPEG-2 encoder. The Gui is written in Tk, so it does not rely on a special desktop environment.",4/24/13,7,18,Audio and Video,1267,30408,4/24/13,9/1/08,2963
.MP3 Renamer,741,741,741,/projects/mp3renamer13/?source=directory,5,"This software allows for the filename management of a large volume of MP3 audio files, conforming them to <Artist> - <Title>.mp3 format. It can also rename using ID3 tags and via manual entry. It also manages ID3 tags, clearing or updating them",4/23/13,1,48,Audio and Video,1268,30432,4/23/13,8/16/07,3345
VidePub,742,742,742,/projects/videpub/?source=directory,0,DVB Video editor,9/24/16,0,86,Audio and Video,18,432,9/24/16,7/9/11,1922
SGI's Video Converter GUI,743,743,743,/projects/sgisgui/?source=directory,5," THIS TOOL IS NO LONGER DEVELOPED, TRY TOOLS LIKE TENCODER. This tool is a GUI for FFMpeg and Mencoder. With the power of these tools, you can convert your videos into various formats, add subtitles, extract audio, and also rip DVDs. You can download videos from online video pages.",4/30/13,16,15,Audio and Video,1261,30264,4/30/13,10/24/09,2545
QmidiNet,744,744,744,/projects/qmidinet/?source=directory,5,A MIDI Network Gateway via UDP/IP Multicast,1 day ago,2,30,Audio and Video,1,23,10/11/16,3/4/10,2414
Spectrum3d,745,745,745,/projects/spectrum3d/?source=directory,5,Audio spectrum visualiser in 3D for Linux,11/6/14,2,30,Audio and Video,706,16944,11/6/14,7/24/11,1907
Windows Media .NET,746,746,746,/projects/windowsmedianet/?source=directory,5,"A library allowing .NET access to Microsoft's ""Windows Media Format"" technology (the IWM* interfaces) combined with samples showing how the library works.  If you are not a programmer there is nothing in this project that you are going to find useful.",10/20/12,2,30,Audio and Video,1453,34872,10/20/12,5/30/08,3057
MatrixMixer,747,747,747,/projects/matrix-mixer/?source=directory,0,MatixMixer is a DirectShow audio processing filter. Main purpose is mixing audio streams in any way. One of the applications is upmix stereo streams to multichannel (useful to watch stereo movies on 5.1 audio systems).,3/26/13,0,85,Audio and Video,1296,31104,3/26/13,3/15/03,4960
Hamsi Manager,748,748,748,/projects/hamsimanager/?source=directory,5,at new home :-) https://github.com/supermurat/hamsi-manager,4/11/15,1,47,Audio and Video,550,13200,4/11/15,5/7/10,2350
mkv2mp4,749,749,749,/projects/mkv2mp4/?source=directory,5,With mkv2mp4 you can convert mkv HD quality movie to a mp4 container without reencode the whole movie.,4/22/13,1,47,Audio and Video,1269,30456,4/22/13,7/31/08,2995
PLIB,750,750,750,/projects/plib/?source=directory,5,"PLIB is a set of libraries that are designed to help developers of interactive 3D applications such as games. All PLIB libraries are portable to just about every modern Operating System. PLIB includes OpenGL GUI and scene graph, portable audio, portable ",5/8/13,3,24,Audio and Video,1253,30072,5/8/13,11/22/99,6169
VirtMus,751,751,751,/projects/virtmus/?source=directory,5,VirtMus (virtual music) allows the user to display multi-page sheet music and flip pages without removing the hands (or feet) from the instrument the music is performed on. It is very useful during concerts and practice sessions.,9/29/15,3,24,Audio and Video,379,9096,9/29/15,1/10/07,3563
Aural Probe,752,752,752,/projects/auralprobe/?source=directory,4.9,An automatic sample librarian tool for musicians,8/1/15,14,15,Audio and Video,438,10512,8/1/15,12/6/06,3598
FlasKMPEG,753,753,753,/projects/flaskmpeg/?source=directory,5,FlasKMPEG. An MPEG transcoding program.,4/3/13,1,46,Audio and Video,1288,30912,4/3/13,4/5/00,6034
DVB-T2 Common Simulation Platform,754,754,754,/projects/dvb-t2-csp/?source=directory,5,"This is a MATLAB model of an end-to-end chain compliant to the DVB-T2 standard (ETSI EN 302 755 available from www.etsi.org). It was originally developed within the DVB consortium (www.dvb.org) by AICIA, BBC, Pace, Panasonic and SIDSA.",7/22/13,5,19,Audio and Video,1178,28272,7/22/13,2/21/11,2060
ASUS XONAR DX Windows 10 driver,755,755,755,/projects/asus-xonar-dx-windows-10-64bit/?source=directory,0,Unofficial ASUS XONAR DX Windows 10 audio driver,9/17/15,0,82,Audio and Video,391,9384,9/17/15,9/17/15,391
DJPlay,756,756,756,/projects/djplay/?source=directory,0,A live DJing system for the Jack sound server architecture. The system includes players for various audio file formats and playlist management.,4/17/13,0,82,Audio and Video,1274,30576,4/17/13,9/21/03,4770
Open Rokn,757,757,757,/projects/openrokn/?source=directory,5,An open source Roku channel customizable via a single xml template,3/17/13,7,17,Audio and Video,1305,31320,3/17/13,9/17/11,1852
moVee 8,758,758,758,/projects/movee8/?source=directory,3.7,Movie Collection Organiser and Content Management,1/29/15,3,48,Audio and Video,622,14928,1/29/15,8/7/13,1162
X-Air Live Toolbox,759,759,759,/projects/xairlivetoolbox/?source=directory,0,Designed to enhance the new X-Air digital mixer,7/22/16,0,81,Audio and Video,82,1968,7/22/16,5/17/15,514
subs2srs,760,760,760,/projects/subs2srs/?source=directory,0,Convert movies and TV shows to flashcards,5/28/16,0,81,Audio and Video,137,3288,5/28/16,5/30/09,2692
Anime Time [v6.3],761,761,761,/projects/animedownloader/?source=directory,5,Watch/DLD Any Anime in the BEST Quality Available @ The Fastest Speed.,8/5/16,1,45,Audio and Video,68,1632,8/5/16,1/21/15,630
QT AC3 Codec,762,762,762,/projects/qtac3codec/?source=directory,5,AC3 Decompressor component for QuickTime.,3/19/13,1,45,Audio and Video,1303,31272,3/19/13,6/12/03,4871
Midi Player Tool,763,763,763,/projects/miditool/?source=directory,3.5,Java Piano GUI,12/7/13,2,99,Audio and Video,1040,24960,12/7/13,1/9/12,1738
Voya Media,764,764,764,/projects/voyamedia/?source=directory,5,"Media player that easily plays all your music, pictures and videos",9/21/16,2,28,Audio and Video,21,504,9/21/16,7/9/12,1556
Alba,765,765,765,/projects/alba/?source=directory,4,"The free alternative to albumwrap.This tool wraps a set of mp3 files into a single mp3 album, for ease of sharing on WinMx and similar programs. You can then extract the tracks back again.",4/15/13,1,44,Audio and Video,1276,30624,4/15/13,8/31/02,5156
Fast Forward,766,766,766,/projects/fastforward3/?source=directory,0,"Free video editor to convert, cut, trim, stream select and encode",9/7/16,0,79,Audio and Video,35,840,9/7/16,11/19/15,328
Homer Conferencing,767,767,767,/projects/homer-conf/?source=directory,0,Homer is a free cross-platform SIP softphone with video support.,7/18/16,0,79,Audio and Video,86,2064,7/18/16,8/21/11,1879
JAAD,768,768,768,/projects/jaadec/?source=directory,5,JAAD is an open-source AAC decoder and MP4 demultiplexer library written completely in Java. It is platform-independent and portable. ,8/19/14,6,17,Audio and Video,785,18840,8/19/14,1/17/11,2095
VChannel Player,769,769,769,/projects/vchannel/?source=directory,0,"VChannel Player is the cross-palrformed media player based on ffmpeg library. It is implemented on Windows, Linux and Mac OSX platforms. User interface is written on C++ with Qt 4 on Windows and Linux, and on Objective-C with Cocoa on Mac OSX.",2/24/15,0,78,Audio and Video,596,14304,2/24/15,12/21/04,4313
MP3 Check,770,770,770,/projects/mp3check/?source=directory,3.7,"mp3_check helps to identify in explicit detail MP3s that do not correctly follow the MP3 format. It also looks for invalid frame headers, missing frames, etc., and generates useful statistics. This can be useful when building a high-quality mp3 archive...",4/25/13,3,46,Audio and Video,1266,30384,4/25/13,5/25/00,5984
Nord Modular Editor,771,771,771,/projects/nmedit/?source=directory,0,This project develops an open source editor for Clavia Nord Modular and Micro Modular synthesizers.,10/26/13,0,77,Audio and Video,1082,25968,10/26/13,12/14/02,5051
SubtitleEditor,772,772,772,/projects/subtitleeditor/?source=directory,0,"This program is an easy to use subtitle editor for Mac OS X. Currently, SubtitleEditor only supports SRT-files.",7/11/12,0,77,Audio and Video,1554,37296,7/11/12,2/23/07,3519
Media Server Control Panel,773,773,773,/projects/mscplite/?source=directory,4.2,Web Administration for Icecast2,7/20/14,6,23,Audio and Video,815,19560,7/20/14,1/11/12,1736
CDDA Ripper XP,774,774,774,/projects/cddarip/?source=directory,3.7,CDDA Ripper XP is an audio CD ripper program that provides support for NT/2000/XP natively (ASPI manager is optional). It supports WAV-MP3-OGG-FLAC-ACM codec encoding and can be used to rip multiple CDs. It uses newest encoders like LAME and Ogg/Vorbis.,2/4/15,3,45,Audio and Video,616,14784,2/4/15,7/8/02,5210
GUI for rtl_power,775,775,775,/projects/guiforrtlpower/?source=directory,0,The real open-source RTL-SDR 2832 dongle panoramic spectrum analyzer,9/9/14,0,76,Audio and Video,764,18336,9/9/14,5/20/14,876
iPlayer Downloader,776,776,776,/projects/iplayerdownload/?source=directory,0,"iPlayer Downloader is a download client for Mac OS X, allowing users of the BBC's iPlayer service to download drm-free tv programs from Mac OS X. Please note iPlayer Downloader is NOT associated with the BBC in any way.",4/19/13,0,76,Audio and Video,1272,30528,4/19/13,4/19/08,3098
JAME - Real-time fractal generator,777,777,777,/projects/jame/?source=directory,5,Application for creating fractals,8/11/16,1,42,Audio and Video,62,1488,8/11/16,1/28/01,5736
UGH Burner,778,778,778,/projects/ughburner/?source=directory,5,"An attempt to create full-functional portable CD/DVD (Blue Ray, HD-DVD) Burning Software.",4/11/13,1,42,Audio and Video,1280,30720,4/11/13,3/4/08,3144
Visual AVI FourCC Changer,779,779,779,/projects/vsfccchanger/?source=directory,5,Tool for changing the FourCC-Code in AVI-Files.,1/3/13,1,42,Audio and Video,1378,33072,1/3/13,11/24/11,1784
gmorgan,780,780,780,/projects/gmorgan/?source=directory,5,"GMorgan_0.75 updated October 12, 2015",3/5/16,1,42,Audio and Video,221,5304,3/5/16,12/3/03,4697
Red Dot Forever,781,781,781,/projects/reddot/?source=directory,5,"Red Dot Forever is an extremely simple program to record MIDI files. It has no advanced editing features -- but if you just want to RECORD, listen back to what you PLAYed, and finally SAVE your recording to disk, then Red Dot Forever is all you need. ",3/27/13,1,41,Audio and Video,1295,31080,3/27/13,12/11/06,3593
GVolWheel,782,782,782,/projects/gvolwheel/?source=directory,5,"GVolWheel is a Lightweight application which lets you control the audio volume. GVolWheel is application which lets you control the volume easily through a tray icon you can scroll on. Easily integrate with minimal desktops (Openbox,IceWM,XFCE etc).",4/26/13,3,21,Audio and Video,1265,30360,4/26/13,12/23/08,2850
YAAMIDRUM,783,783,783,/projects/yaamidrum/?source=directory,4.7,YAAMIDRUM (Yet Another Midi Drum) is an open hard- and software project based on Arduino (http://www.arduino.cc/). Supports 48 inputs for piezos or other sensors and optical hihat with infrared sensor. Cheap and easy to build.,4/15/13,3,21,Audio and Video,1276,30624,4/15/13,3/14/11,2039
Subtitler(Renaissance Subtitle Download),784,784,784,/projects/renaissannce/?source=directory,4,Renaissance is very simple Windows/ MAC OS X application to allow search and download subtitles DVD covers for chosen video and specified language. Services provided by OpenSubtitles(http://www.opensubtitles.org/) and other sites supporting the OSDB protocol. ,5/3/13,4,31,Audio and Video,1258,30192,5/3/13,1/17/10,2460
Mixxx,785,785,785,/projects/mixxx/?source=directory,5,"Mixxx has moved to http://www.mixxx.org. Please visit our official site for the latest updates, as our SourceForge page is completely out of date.",2/22/14,5,17,Audio and Video,963,23112,2/22/14,2/25/02,5343
MythTv Player,786,786,786,/projects/mythtvplayer/?source=directory,4.8,MythTv Player enables playback of MythTV recordings as well as watching LiveTv from Windows. It connects directly to the MythTv backend and does not require any external codecs.,4/4/15,5,17,Audio and Video,557,13368,4/4/15,1/15/07,3558
PAMGUARD,787,787,787,/projects/pamguard/?source=directory,5,Detection Classification and Localisation of marine mammals,3 days ago,6,16,Audio and Video,3,71,10/9/16,9/14/04,4411
SonicBirth,788,788,788,/projects/sonicbirth/?source=directory,0,"SonicBirth is a modular audio and music development program which allows you to create DSP structures (SonicBirth circuits) graphically, by wiring DSP elements together. It lets you build new effects and musical devices, and then export them as plugins.",5/21/13,0,73,Audio and Video,1240,29760,5/21/13,3/8/07,3506
dvdbackup,789,789,789,/projects/dvdbackup/?source=directory,0,tool to rip DVDs from the command line,8/23/13,0,72,Audio and Video,1146,27504,8/23/13,3/1/08,3147
Audacity-Extra,790,790,790,/projects/audacity-extra/?source=directory,5,dark themed version of free Audacity sound editor,1/20/16,1,40,Audio and Video,266,6384,1/20/16,3/10/07,3504
jv_player,791,791,791,/projects/jv-player/?source=directory,5,"Java video player, container format: mp4, avi; video codec: mp4v/xvid; audio: mp3.",4/26/13,1,40,Audio and Video,1265,30360,4/26/13,9/10/10,2224
toolame,792,792,792,/projects/toolame/?source=directory,5,TooLAME is an optimized MPEG Audio Layer 2 encoder.,4/8/13,4,18,Audio and Video,1283,30792,4/8/13,1/24/01,5740
